# Яндекс.Метрика, счётчик 45472341, «Страницы входа», 01.01.2021 — 31.12.2022 (пиковые годы), топ-200 по визитам.
# Всего визитов за период: 1 784 639, отказы 17,22 %. Выгружено 23.09.2026.
# Колонки: страница входа | визиты | отказы
/ | 340585 | 18,32%
/catalog/asic_maynery/ | 176506 | 7,15%
/catalog/fermy_dlya_mayninga/ | 85951 | 7,37%
/catalog/videokarty/ | 38915 | 6,82%
/table/ | 32733 | 16,07%
/catalog/asic_maynery/innosilicon/innosilicon_a10_eth_miner/ | 31934 | 22,08%
/catalog/asic_maynery/bitmain/bitmain_antminer_s19_pro/ | 26423 | 23,97%
/catalog/fermy_dlya_mayninga/mayning_fermy_na_nvidia/mayning_ferma_na_videokartakh_nvidia_geforce_rtx_3090/?oid=5848 | 19351 | 13,55%
/catalog/fermy_dlya_mayninga/mayning_fermy_na_nvidia/ | 19320 | 9,94%
/catalog/videokarty/videokarty_nvidia/videokarty_geforce_rtx_30/ | 18675 | 13,74%
/catalog/asic_maynery/bitmain/bitmain_antminer_s9/ | 16353 | 18,85%
/catalog/asic_maynery/bitmain/bitmain_antminer_s9/?oid=2478 | 14180 | 16,26%
/catalog/asic_maynery/bitmain/ | 14051 | 11,41%
/catalog/asic_maynery/bitmain/bitmain_antminer_s17_pro/ | 13947 | 19,27%
/catalog/fermy_dlya_mayninga/mayning_fermy_na_nvidia/mayning_ferma_na_8_videokartakh_nvidia_geforce_rtx_3080/?oid=5708 | 13375 | 15,77%
/catalog/videokarty/videokarty_nvidia/ | 11966 | 10,92%
/catalog/mayning_fermy/ | 11903 | 12,47%
/blog/novosti-kriptomira/5-luchshikh-filmov-o-blokcheyne-i-kriptovalyute-/ | 11065 | 25,85%
/catalog/asic_maynery/bitmain/bitmain_antminer_z15/ | 10156 | 29,65%
/catalog/fermy_dlya_mayninga/mayning_fermy_na_nvidia/mayning_ferma_na_videokartakh_nvidia_geforce_rtx_3070/?oid=5713 | 9122 | 13,59%
/catalog/asic_maynery/bitmain/bitmain_antminer_l3/ | 8901 | 29,80%
/catalog/komplektuyushchie/ | 8896 | 8,13%
/catalog/fermy_dlya_mayninga/mayning_fermy_na_nvidia/mayning_ferma_na_videokartakh_nvidia_geforce_gtx_1660_super/?oid=5077 | 8290 | 15,88%
/catalog/videokarty/videokarty_nvidia/videokarta_palit_cmp_30hx/ | 7508 | 29,60%
/catalog/videokarty/videokarty_amd/videokarty_amd_radeon_rx_6000/ | 7313 | 18,67%
/catalog/asic_maynery/innosilicon/innosilicon_miner_t2t/ | 6840 | 19,61%
/catalog/asic_maynery/innosilicon/innosilicon_miner_t2t/?oid=3344 | 6739 | 15,45%
/catalog/asic_maynery/whatsminer/whatsminer_m21s/ | 6478 | 24,15%
/catalog/asic_maynery/filter/in_stock-is-y/apply/ | 6361 | 7,21%
/catalog/asic_maynery/whatsminer/whatsminer_m21s/?oid=3593 | 6345 | 17,26%
/catalog/asic_maynery/bitmain/bitmain_antminer_l3/?oid=3624 | 6251 | 17,87%
/catalog/asic_maynery/aixin_a1/ | 6067 | 21,74%
/catalog/asic_maynery/whatsminer/whatsminer_m30s/ | 6062 | 24,20%
/catalog/videokarty/videokarty_amd/ | 6058 | 9,54%
/catalog/ | 6021 | 15,67%
/catalog/fermy_dlya_mayninga/mayning_fermy_na_amd/ | 5766 | 9,87%
/catalog/asic_maynery/whatsminer/ | 5668 | 11,33%
/catalog/videokarty/filter/in_stock-is-y/apply/ | 5609 | 9,99%
/catalog/asic_maynery/bitfury_b8_49_th_s/ | 5347 | 16,10%
/catalog/asic_maynery/bitmain/bitmain_antminer_s19/ | 5269 | 19,52%
/catalog/asic_maynery/bitmain/bitmain_antminer_t17/ | 5051 | 24,01%
/company/ | 4847 | 15,51%
/catalog/asic_maynery/canaan_avalon_a1066/ | 4725 | 17,67%
/catalog/asic_maynery/bitmain/bitmain_antminer_l3/?oid=3617 | 4636 | 17,31%
/catalog/asic_maynery/bitmain/bitmain_antminer_s11/ | 4457 | 21,88%
/catalog/videokarty/videokarty_nvidia/nvidia_cmp_170hx/ | 4430 | 45,71%
/catalog/asic_maynery/innosilicon/innosilicon_miner_t2t/?oid=3353 | 4190 | 14,07%
/catalog/asic_maynery/bitmain/bitmain_antminer_s9/?oid=2502 | 4185 | 14,06%
/catalog/asic_maynery/bitmain/bitmain_antminer_t17/?oid=3696 | 4016 | 16,16%
/catalog/asic_maynery/whatsminer/whatsminer_m32/ | 3976 | 22,89%
/catalog/asic_maynery/bitmain/bitmain_antminer_s17_plus/ | 3757 | 23,62%
/catalog/asic_maynery/bitmain/bitmain_antminer_t9/ | 3672 | 19,47%
/catalog/komplektuyushchie/materinskie_platy/ | 3666 | 12,20%
/blog/novosti-kriptomira/bitkoin-v-2021-godu-chto-budet-s-kursom/ | 3598 | 7,66%
/catalog/asic_maynery/whatsminer/whatsminer_m20s/ | 3597 | 23,64%
/catalog/asic_maynery/innosilicon/innosilicon_miner_t2t/?oid=3341 | 3391 | 16,42%
/catalog/komplektuyushchie/zakrytyy_korpus_karkas_dlya_mayning_fermy_na_12_videokart/ | 3360 | 21,88%
/catalog/fermy_dlya_mayninga/mayning_fermy_na_nvidia/mayning_ferma_na_videokartakh_nvidia_geforce_rtx_3060_ti/?oid=5862 | 3322 | 11,57%
/catalog/asic_maynery/bitmain/bitmain_antminer_e9/?oid=28606 | 3317 | 16,99%
/catalog/asic_maynery/whatsminer/whatsminer_m31s/?oid=5572 | 3287 | 13,74%
/catalog/asic_maynery/bitmain/bitmain_antminer_s19/?oid=3687 | 3256 | 14,18%
/catalog/asic_maynery/bitmain/bitmain_antminer_t19/ | 3218 | 20,54%
/catalog/asic_maynery/bitmain/bitmain_antminer_s15/ | 3184 | 24,53%
/catalog/asic_maynery/innosilicon/ | 3134 | 14,91%
/catalog/asic_maynery/innosilicon/innosilicon_t3/ | 3123 | 23,65%
/catalog/videokarty/videokarty_nvidia/palit_cmp_70hx_8gb/ | 3020 | 22,60%
/catalog/asic_maynery/bitmain/bitmain_antminer_l7/ | 3010 | 33,92%
/catalog/asic_maynery/bitmain/bitmain_antminer_s9j_/ | 2995 | 26,15%
/catalog/fermy_dlya_mayninga/tushka_dlya_mayning_fermy_bez_videokart/?oid=6006 | 2957 | 16,41%
/catalog/komplektuyushchie/komplektuyushchie_dlya_mayning_fermy_na_12_gpu_videokart/blok_pitaniya_dlya_mayning_fermy_na_12_gpu_videokart/ | 2907 | 13,57%
/catalog/asic_maynery/bitmain/bitmain_antminer_s9k/ | 2871 | 22,79%
/catalog/asic_maynery/whatsminer/whatsminer_m20s/?oid=3666 | 2829 | 17,31%
/catalog/asic_maynery/bitmain/bitmain_antminer_s9/?oid=2494 | 2788 | 16,64%
/catalog/asic_maynery/innosilicon/innosilicon_miner_t2t/?oid=3352 | 2759 | 13,93%
/catalog/asic_maynery/whatsminer/whatsminer_m21s/?oid=3585 | 2749 | 19,69%
/catalog/asic_maynery/bitmain/bitmain_antminer_s17e/ | 2702 | 20,24%
/catalog/asic_maynery/innosilicon/innosilicon_a10_5gb_eth_miner/ | 2665 | 20,69%
/catalog/asic_maynery/cheetah_f1/ | 2637 | 21,33%
/catalog/asic_maynery/bitmain/bitmain_antminer_t17/?oid=3716 | 2614 | 16,03%
/blog/novosti-kriptomira/bitkoin-po-100-000-maloveroyatno-5-prognozov-tseny-monety-na-2021-god/ | 2586 | 9,14%
/catalog/asic_maynery/whatsminer/whatsminer_m31s/?oid=4891 | 2567 | 15,67%
/basket/ | 2463 | 9,83%
/catalog/asic_maynery/ebang/ebang_ebit_e10_3/ | 2452 | 25,73%
/catalog/asic_maynery/bitmain/bitmain_antminer_s19_pro/?oid=5835 | 2438 | 18,34%
/catalog/asic_maynery/whatsminer/whatsminer_m31s/ | 2407 | 28,03%
/catalog/asic_maynery/aladdin_l2/ | 2405 | 22,55%
/catalog/asic_maynery/bitmain/bitmain_antminer_s9_dual/ | 2398 | 24,58%
/contacts/ | 2381 | 16,99%
/catalog/fermy_dlya_mayninga/filter/in_stock-is-y/apply/ | 2372 | 11,38%
/catalog/asic_maynery/whatsminer/whatsminer_m30s/?oid=3683 | 2369 | 22,23%
/catalog/asic_maynery/aixin_a1/?oid=2224 | 2360 | 16,71%
/catalog/asic_maynery/whatsminer/whatsminer_m21s/?oid=3609 | 2324 | 21,02%
/catalog/asic_maynery/whatsminer/whatsminer_m30s/?oid=4888 | 2306 | 17,35%
/catalog/asic_maynery/bitmain/bitmain_antminer_s9i/ | 2299 | 22,12%
/catalog/asic_maynery/jasminer_x4_1u_server/ | 2289 | 32,31%
/catalog/asic_maynery/bitmain/bitmain_antminer_z9_mini/ | 2269 | 25,53%
/catalog/fermy_dlya_mayninga/mayning_fermy_na_nvidia/mayning_ferma_na_videokartakh_nvidia_geforce_rtx_3060_ti/ | 2193 | 16,91%
/catalog/fermy_dlya_mayninga/mayning_fermy_na_nvidia/mayning_ferma_na_videokartakh_nvidia_geforce_rtx_3090/?oid=5851 | 2193 | 14,15%
/catalog/asic_maynery/bitmain/bitmain_antminer_s19/?oid=3685 | 2172 | 16,46%
/catalog/asic_maynery/bitmain/bitmain_antminer_t17_plus/ | 2113 | 23,91%
/catalog/asic_maynery/bitmain/bitmain_antminer_s17/ | 2079 | 15,85%
/catalog/asic_maynery/whatsminer/whatsminer_m30s/?oid=5233 | 2075 | 18,41%
/catalog/asic_maynery/ebang/ebang_ebit_e10_1/ | 2048 | 25,05%
/catalog/asic_maynery/bitmain/bitmain_antminer_t17e/ | 2047 | 24,79%
/services/remont-asikov/ | 2015 | 12,35%
/catalog/asic_maynery/ebang/ebang_ebit_e12/ | 2011 | 24,96%
/catalog/fermy_dlya_mayninga/mayning_fermy_na_nvidia/mayning_ferma_na_videokartakh_nvidia_geforce_rtx_3060_ti_lhr/?oid=7214 | 1996 | 12,58%
/catalog/asic_maynery/whatsminer/whatsminer_m21s/?oid=3601 | 1981 | 19,06%
/catalog/videokarty/videokarty_nvidia/videokarty_geforce_rtx_30/videokarta_palit_geforce_rtx_3060_ti_dual_v1_lhr/ | 1974 | 19,52%
/catalog/asic_maynery/bitmain/?PAGEN_1=2 | 1970 | 10,75%
/auth/ | 1929 | 20,21%
/info/garantiya.php | 1844 | 9,72%
/company/reviews/ | 1833 | 16,08%
/catalog/asic_maynery/bitmain/bitmain_antminer_s9_se/ | 1832 | 25,99%
/catalog/videokarty/videokarty_dlya_mayninga_bez_videovykhoda/ | 1817 | 16,28%
/catalog/videokarty/videokarty_amd/radeon_vii_16gb_triple_fan_radeon_vii_16gb_4096bit_hbm2_rtl_hs_vegra3sbr/ | 1813 | 37,95%
/catalog/asic_maynery/bitmain/bitmain_antminer_s19/?oid=8489 | 1810 | 14,55%
/catalog/asic_maynery/bitmain/bitmain_antminer_s19/?oid=23898 | 1802 | 16,17%
/catalog/remont_asikov/bloki_pitaniya_dlya_asik_maynerov/originalnyy_blok_pitaniya_apw3_dlya_bitmain_antminer_l3_d3_s9/ | 1769 | 27,68%
/catalog/asic_maynery/bitmain/bitmain_antminer_s19j_pro/?oid=7562 | 1767 | 15,47%
/asic_maineri/ | 1751 | 15,16%
/catalog/asic_maynery/whatsminer/whatsminer_m31s_plus/ | 1724 | 24,04%
/catalog/asic_maynery/bitmain/bitmain_antminer_l3/?oid=20142 | 1718 | 13,83%
/catalog/?section_id=263&q=RTX 3080&spell=1&where=&SHOWALL_2=1 | 1696 | 15,79%
/catalog/videokarty/videokarty_nvidia/videokarta_palit_geforce_rtx_2060_super_dual_8gb/ | 1646 | 24,37%
/catalog/?q=блок питания&s=Найти | 1634 | 7,54%
/catalog/asic_maynery/bitmain/bitmain_antminer_l3/?oid=3632 | 1587 | 15,68%
