# Яндекс.Метрика, счётчик 45472341, «Страницы входа», 01.01.2024 — 31.12.2025 (последние два года старого сайта),
# точность 100 %, топ-110 из 1758 по визитам. Всего визитов: 149 036, отказы 38,04 %, 39 достижений избранных целей.
# Колонки: страница | визиты | посетители | отказы | глубина | время | достижения целей
# Строки /forum/?... со ставками, казино, «вебкамом», дипломами — это спам, которым был забит форум (см. отчёт).
/ | 94524 | 90151 | 41,82% | 2,16 | 1м9c | 22
/catalog/asic_maynery/ | 4933 | 4448 | 13,44% | 1,83 | 2м2c | 5
/catalog/mayning_fermy/ | 4261 | 4076 | 22,93% | 1,35 | 58c | 0
/blog/novosti-kriptomira/5-luchshikh-filmov-o-blokcheyne-i-kriptovalyute-/ | 4144 | 3638 | 32,41% | 1,07 | 31c | 0
/bitrix/urlrewrite.php | 3528 | 3387 | 44,30% | 1,51 | 47c | 0
/blog/poleznye-materialy/mayning-ferma-rukovodstvo-polzovatelya/ | 2337 | 2090 | 11,90% | 1,47 | 1м30c | 0
/blog/poleznye-materialy/asik-rukovodstvo-polzovatelya/ | 2077 | 1772 | 9,82% | 1,34 | 1м37c | 0
/forum/?register=yes | 1328 | 1328 | 90,21% | 1,24 | 13c | 0
/catalog/asic_maynery/ipollo/ipollo_v1_mini_classic/ | 1221 | 1125 | 26,95% | 1,38 | 52c | 0
/catalog/videokarty/ | 1176 | 1063 | 15,39% | 1,45 | 41c | 0
/catalog/asic_maynery/whatsminer/whatsminer_m30s_plus_plus/?oid=22739 | 1159 | 981 | 22,78% | 1,52 | 1м35c | 2
http://miningshop.ru/ | 1111 | 1105 | 82,09% | 1,10 | 11c | 0
/catalog/asic_maynery/bitmain/bitmain_antminer_l3/ | 910 | 909 | 62,42% | 1,00 | 6c | 0
/catalog/asic_maynery/whatsminer/whatsminer_m21s/?oid=3595 | 846 | 775 | 31,44% | 1,29 | 1м7c | 0
/table/ | 830 | 788 | 27,23% | 1,41 | 1м6c | 0
/catalog/videokarty/videokarty_nvidia/videokarty_geforce_rtx_30/ | 772 | 769 | 7,77% | 2,02 | 1м20c | 0
/forum/?PAGE_NAME=topic_new&FID=1 | 711 | 16 | 0,84% | 2,86 | 12м43c | 0
/catalog/asic_maynery/bitmain/bitmain_antminer_e9/?oid=28606 | 603 | 508 | 29,02% | 1,70 | 1м30c | 0
/blog/novosti-kriptomira/chto-budet-s-maynerami-posle-khalvinga-bitkoina/ | 582 | 560 | 9,79% | 1,07 | 28c | 0
/catalog/asic_maynery/bitmain/ | 498 | 230 | 23,69% | 1,48 | 1м34c | 0
/catalog/komplektuyushchie/bloki_pitaniya/servernyy_blok_pitaniya_zumax_2600_w/ | 485 | 481 | 5,57% | 1,43 | 39c | 0
/fermy_dlja_majninga_kriptovaljuty/ | 419 | 418 | 88,31% | 1,16 | 14c | 0
