Название;Раздел;Цена, ₽;Наличие;Артикул;Архивирована;Адрес;Фото;Фото в архиве;Описание (знаков);Артикул:;Потребление;Значения хешрейта;Окупаемость;Доходность;Артикул для заказа;Объем памяти;Тип памяти;Артикул для заказа:;Доходность обновлена:;Графический процессор (Чип);Объем видеопамяти;Графический процессор;Алгоритм хеширования;?Сколько требуется ватт на 1 MH/s Энергоэффективность W / MH;Энергоэффективность W / MH;?Считается как цена оборудования / хешрейт Стоимость 1 MH/s в руб.;Стоимость 1 MH/s в руб.;Интерфейс памяти;Частота памяти;Максимальное разрешение;Выход HDMI;Видеовыходы;Количество ядер CUDA®;Частота процессора;Производитель;OpenGL;Рекомендуемая мощность БП;Поддержка SLI/CrossFire;Поддержка мониторов;Техпроцесс;Количество занимаемых слотов;Сообщение;Возможна покупка с НДС;Вес, кг;Размер, мм;Поддержка водяного охлаждения;? Сколько требуется ватт на 1 MH/s Энергоэффективность W / MH;? Считается как цена оборудования / хешрейт Стоимость 1 MH/s в руб.;Энергопотребление, W;Low Hash Rate (LHR);Производитель видеопроцессора (видеокарта);Интерфейс (видеокарта);За 30 дней;Гарантия, мес.;Артикул;Серия (видеокарта);Кодовое название графического процессора (видеокарта)
Aixin A1 PRO;Каталог / ASIC Майнеры по низкой цене с доставкой по России;106000.0;InStock;891;2021-10-20;https://miningshop.ru/catalog/asic_maynery/aixin_a1/;"https://miningshop.ru/upload/iblock/e88/hw0dhmqs0c79k3p42cehkqrmyvip2oyr.png https://miningshop.ru/upload/iblock/ad6/1n0bl92eqyba1en09tjf6yj7b7a05gsl.png https://miningshop.ru/upload/iblock/306/0ywwwrgol42rqpmqehfirfzfst5qsudg.png https://miningshop.ru/upload/iblock/986/8pcox6ggj2gdayqnencry6o1pu1qrysp.png https://miningshop.ru/upload/iblock/4d2/rrqix86rukh52upb39tannbh4g52sijf.png https://miningshop.ru/upload/iblock/89f/pi53hb2xba5qb55zemelumgbpx5v03ni.jpg https://miningshop.ru/upload/iblock/009/99izpmttvu3c33f47mbxyec7vwf2cn57.jpg https://miningshop.ru/upload/iblock/fa5/lse5m70hiz91ics08vf51vdm9f04a0zl.jpg https://miningshop.ru/upload/iblock/fba/5nnwa85rf3l71unh0l6o8v4e3wt353e9.jpg https://miningshop.ru/upload/iblock/c79/l4euvvh9s3lvfla1z2oux6epn0181fkw.jpg https://miningshop.ru/upload/iblock/98d/9863ec0cqt408d9kwq1prakjdc2bau0i.jpg https://miningshop.ru/upload/iblock/d5f/4vafazsidwn13aa65x6geb17qvtq7eey.jpg data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==";mirror/upload/resize_cache/iblock/ad6/400_400_140cd750bba9870f18aada2478b24840a/1n0bl92eqyba1en09tjf6yj7b7a05gsl.png mirror/upload/resize_cache/iblock/306/400_400_140cd750bba9870f18aada2478b24840a/0ywwwrgol42rqpmqehfirfzfst5qsudg.png mirror/upload/resize_cache/iblock/986/400_400_140cd750bba9870f18aada2478b24840a/8pcox6ggj2gdayqnencry6o1pu1qrysp.png mirror/upload/resize_cache/iblock/4d2/400_400_140cd750bba9870f18aada2478b24840a/rrqix86rukh52upb39tannbh4g52sijf.png;1227;100025;;23 Th/s;3 месяца;681,59 руб./день;891;;;891;;;;;SHA256;;;;;;;;;;;;;;;;;;;Обновлено: 01:00:24 21/10/2021;;;;;;;2100;;;;;;;;
БУ Aladdin L2 30 Th/s;Каталог / ASIC Майнеры по низкой цене с доставкой по России;130800.0;InStock;5234;2021-10-27;https://miningshop.ru/catalog/asic_maynery/aladdin_l2/;https://miningshop.ru/upload/iblock/d29/d295d9b71b07a6b96f6dc215a60c8510.jpg https://miningshop.ru/upload/iblock/4c3/4c372cb1ff289268f2fb71aa8a9df2ac.jpg;mirror/upload/resize_cache/iblock/4c3/400_400_140cd750bba9870f18aada2478b24840a/4c372cb1ff289268f2fb71aa8a9df2ac.jpg;471;;;30;;;5234;;;5234;;;;;SHA256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aladdin T1;Каталог / ASIC Майнеры;57500.0;OutOfStock;6205;2023-06-26;https://miningshop.ru/catalog/asic_maynery/aladdin_t1/;https://miningshop.ru/upload/iblock/5bc/02bvyk6vpv300jj8jg5chwjy8qmwva56.png;;0;6205;;;13;160;6205;;;;Обновлено: 13:01:48 17/01/2023;;;;SHA256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Avalon 1126 Pro 64 Th/s;Каталог / ASIC Майнеры по низкой цене с доставкой по России;456000.0;InStock;7289;2021-11-05;https://miningshop.ru/catalog/asic_maynery/avalon_1126_pro_64_th_s/;https://miningshop.ru/upload/iblock/efe/lqwo03ca7udqbkqwrh3xntoj39cmc1cr.jpg;;0;;3420;64 Th/s;;;7289;;;7289;;;;;SHA256;;;;;;;;;;;;;;;;;;;;;;;;;;3420;;;;;;;;
BitFury B8;Каталог / ASIC Майнеры;17500.0;InStock;909;2025-11-15;https://miningshop.ru/catalog/asic_maynery/bitfury_b8_49_th_s/;https://miningshop.ru/upload/iblock/db2/db245b823bfcfaa21c27a819cd531d4b.png https://miningshop.ru/upload/iblock/686/6860868d55ae675fd1a3e36760af87e5.png https://miningshop.ru/upload/iblock/d6e/d6e3a76e7de5c19c845affe650e8d657.png https://miningshop.ru/upload/iblock/a3d/a3da19d1328aa367fd2cc88dfea23185.png;mirror/upload/resize_cache/iblock/686/400_400_140cd750bba9870f18aada2478b24840a/6860868d55ae675fd1a3e36760af87e5.png mirror/upload/resize_cache/iblock/d6e/400_400_140cd750bba9870f18aada2478b24840a/d6e3a76e7de5c19c845affe650e8d657.png mirror/upload/resize_cache/iblock/a3d/400_400_140cd750bba9870f18aada2478b24840a/a3da19d1328aa367fd2cc88dfea23185.png;0;909;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bitmain Antminer D7 1234G;Каталог / ASIC Майнеры / Bitmain;;Ожидаем поставку;Цена;2025-10-08;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_d7_1234g/;https://miningshop.ru/upload/iblock/eb3/s659c06ebj4dy73d0a2o1tyy90fj6gsq/Screenshot_8.png https://miningshop.ru/upload/iblock/bd9/4o3fkkmrxv06byr3hvpojmxuwazc9i4f/Screenshot_12.png https://miningshop.ru/upload/iblock/72d/grihxmfh7ikm0g1532zyh70m03pte84f/Screenshot_7.png https://miningshop.ru/upload/iblock/9d1/696u94m1i089074oesj8pa4bqp7w0gsr/Screenshot_9.png https://miningshop.ru/upload/iblock/95a/2nyie0nuzgktnko4msteobq2ra3urv6d/Screenshot_10.png https://miningshop.ru/upload/iblock/0e5/1jrjcor9buz1m70ayg1q2iz135zobqs8/Screenshot_11.png;;3256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bitmain Antminer D7 1286G;Каталог / ASIC Майнеры / Bitmain;;Ожидаем поставку;Цена;2025-07-20;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_d7_1286g/;https://miningshop.ru/upload/iblock/c06/lsb1e36ht7l8xmpq8em1hwq7574lfy2g/Screenshot_9.png https://miningshop.ru/upload/iblock/ec8/zobpp1cd3838dtwnoc2tyu91l3q4ebfk/Screenshot_12.png https://miningshop.ru/upload/iblock/34b/3grlhwb3jkuwdkfkv4wqf0fv6fvolxwr/Screenshot_7.png https://miningshop.ru/upload/iblock/437/forlo265ucn9fpdjmy80048f19j48gfm/Screenshot_8.png https://miningshop.ru/upload/iblock/7bc/dddq4afsskxenw84srohlf430i3fq337/Screenshot_11.png https://miningshop.ru/upload/iblock/b47/aj88z9shzskxd2en42z8h3yav0qxk5kg/Screenshot_10.png;;3221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bitmain Antminer E9 Pro 3680M;Каталог / ASIC Майнеры / Bitmain;514500.0;InStock;28605;2025-10-08;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_e9/;https://miningshop.ru/upload/iblock/e0a/pkiygkoi03q4ju7e2csny5qi3qviqrh7/Layer-2.webp;;2997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19500;;;;
Bitmain Antminer K5;Каталог / Асики ASIC Майнеры для майнинга по низкой цене в Москве / Асики Bitmain по низкой цене в Москве;165000.0;OutOfStock;4075;2022-05-20;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_k5/;"https://miningshop.ru/upload/iblock/dc4/dc43a1aab18a1bb1151bb3f46c4729d6.png data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==";;0;4075;;1130 Gh;;;4075;;;4075;;;;;Eaglesong;;;;;;;;;;;;;;;;;;;;;;;;;;1580;;;;;;;;
Bitmain Antminer L3+;Каталог / ASIC Майнеры / Bitmain;19500.0;InStock;915;2023-06-26;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_l3/;https://miningshop.ru/upload/iblock/8d7/8d7f2dfcca1e7da180a9a4c0192b6cb9.png;;2983;915;;504;18;97;;;;;Обновлено: 13:01:42 17/01/2023;;;;Scrypt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bitmain Antminer L7;Каталог / ASIC Майнеры / Bitmain;492500.0;InStock;6661;2024-02-27;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_l7/;https://miningshop.ru/upload/iblock/90f/71qi26x7d9x7jhj0htrjku9xag0qhqdr.png;;0;6661;;;;;6661;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bitmain Antminer S11;Каталог / ASIC Майнеры / Bitmain;9000.0;OutOfStock;918;2023-06-05;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_s11/;https://miningshop.ru/upload/iblock/74b/74b504391927533b96470f49b6d98d0c.jpg;;1749;918;;19-20,5 Th/s;5;99;;;;;Обновлено: 13:00:03 17/01/2023;;;;SHA256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bitmain Antminer S15;Каталог / ASIC Майнеры / Bitmain;12000.0;OutOfStock;922;2023-02-03;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_s15/;https://miningshop.ru/upload/iblock/6a3/6a374e0bd92b2755410468992ccc8ee3.jpg;;379;922;;28 Th/s;18;140;;;;;Обновлено: 13:00:03 17/01/2023;;;;SHA256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bitmain Antminer S17;Каталог / ASIC Майнеры / Bitmain;223000.0;InStock;929;2023-06-26;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_s17/;https://miningshop.ru/upload/iblock/d60/d60fd06e115aa7fec57c4396cea38cd6.png;;359;929;;50 - 59 Th/s;7;295;;;;;Обновлено: 13:00:03 17/01/2023;;;;SHA256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bitmain Antminer S17+;Каталог / ASIC Майнеры / Bitmain;58500.0;OutOfStock;953;2023-06-26;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_s17_plus/;https://miningshop.ru/upload/resize_cache/webp/upload/iblock/8fd/8fd1761d884b007fd7444f097ca2fa04.webp https://miningshop.ru/upload/resize_cache/webp/upload/iblock/009/00970174515f03a40b6fe7ea05d0ae04.webp;;3220;953;;67 - 73 Th/s;8;373;;;;;Обновлено: 13:00:03 17/01/2023;;;;SHA256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bitmain Antminer S17 PRO;Каталог / ASIC Майнеры / Bitmain;52500.0;OutOfStock;944;2023-06-26;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_s17_pro/;https://miningshop.ru/upload/iblock/2f3/2f35a873910ec9887fd32562e8248257.png https://miningshop.ru/upload/iblock/8a3/8a34ca546b40fd5d1d058f92b69f5d5f.png https://miningshop.ru/upload/iblock/88c/88cf0c33c3823027c244dc92f55dd50e.png;mirror/upload/iblock/8a3/8a34ca546b40fd5d1d058f92b69f5d5f.png mirror/upload/iblock/88c/88cf0c33c3823027c244dc92f55dd50e.png;2987;944;;50 - 59 Th/s;8;295;;;;;Обновлено: 13:00:03 17/01/2023;;;;SHA256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bitmain Antminer S17e;Каталог / ASIC Майнеры / Bitmain;55500.0;OutOfStock;925;2023-06-26;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_s17e/;https://miningshop.ru/upload/iblock/e40/e40c691aaa7ce771de6352ca5f355f0a.png https://miningshop.ru/upload/iblock/5e0/5e03936badd8aedd15631fff3d564685.png https://miningshop.ru/upload/iblock/623/6237a7b30484bb76dbb2f904c836fcab.png https://miningshop.ru/upload/iblock/7f0/7f02149734d37e3009cba748ee8dd55f.png https://miningshop.ru/upload/iblock/99d/99d0f6b6245171d22c498b898d35a222.png https://miningshop.ru/upload/iblock/c01/c0195ddc5854f077fd4a0b77d458d5c1.png;mirror/upload/resize_cache/iblock/5e0/400_400_140cd750bba9870f18aada2478b24840a/5e03936badd8aedd15631fff3d564685.png mirror/upload/resize_cache/iblock/623/400_400_140cd750bba9870f18aada2478b24840a/6237a7b30484bb76dbb2f904c836fcab.png mirror/upload/resize_cache/iblock/7f0/400_400_140cd750bba9870f18aada2478b24840a/7f02149734d37e3009cba748ee8dd55f.png mirror/upload/resize_cache/iblock/99d/400_400_140cd750bba9870f18aada2478b24840a/99d0f6b6245171d22c498b898d35a222.png;3477;925;;60 - 64 Th/s;7;320;;;;;Обновлено: 13:00:03 17/01/2023;;;;SHA256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bitmain Antminer S19;Каталог / ASIC Майнеры / Bitmain;37800.0;InStock;3689;2025-10-07;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_s19/;https://miningshop.ru/upload/iblock/c1a/c1ab807aa8f9f9739d3623cea80658f1.png;mirror/upload/resize_cache/iblock/c1a/50_50_140cd750bba9870f18aada2478b24840a/c1ab807aa8f9f9739d3623cea80658f1.png;0;3689;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13890;;;;
Bitmain Antminer S19 PRO;Каталог / ASIC Майнеры / Bitmain;121000.0;InStock;3690;2024-02-27;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_s19_pro/;https://miningshop.ru/upload/iblock/c6d/glu3atwbema5qglc06pcsqj0us6zc0rx/ayf4vikwj3y8ba64u6mhk1ny9jnkpgta.png;;3590;3690;;110-115Th/s;15;534;;;;;Обновлено: 13:00:03 17/01/2023;;;;SHA256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bitmain Antminer S19 Pro Hyd (Hydro);Каталог / ASIC Майнеры / Bitmain;185000.0;InStock;8697;2025-07-20;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_s19_pro_hyd/;https://miningshop.ru/upload/iblock/d65/i69ijwwv44wgw8t7219o73ipngz8ubcg.png;;2978;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29730;;;;
Bitmain Antminer S19a;Каталог / ASIC Майнеры / Bitmain;257500.0;InStock;8490;2025-09-10;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_s19a/;https://miningshop.ru/upload/iblock/567/3rey0c2mcybuip94v5n2jt7ekckfhn59.png;;0;8490;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bitmain Antminer S19j;Каталог / ASIC Майнеры / Bitmain;552000.0;InStock;7016;2024-02-27;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_s19j/;https://miningshop.ru/upload/iblock/2a1/tt44zw04j0q1iz10a06eqvjbmtztngfh.png;;0;7016;3250 w;90 Th/s;;;7016;;;;;;;;SHA256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bitmain Antminer S19j Pro;Каталог / ASIC Майнеры / Bitmain;151700.0;InStock;6787;2025-07-20;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_s19j_pro/;https://miningshop.ru/upload/iblock/9ea/dt87zwgvtz0biy8vdnh2ccj3butqncwx/Screenshot_132.png;;0;6787;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15390;;;;
Bitmain Antminer S19K PRO;Каталог / ASIC Майнеры / Bitmain;141000.0;InStock;30574;2024-04-05;https://miningshop.ru/catalog/asic_maynery/bitmain/bitmain_antminer_s19k_pro/;https://miningshop.ru/upload/iblock/241/srk1364aykuy1zxlbl64xhmb0q7i670j/Снимок экрана 2023-11-09 в 18.05.24.png;mirror/upload/resize_cache/iblock/241/srk1364aykuy1zxlbl64xhmb0q7i670j/400_400_140cd750bba9870f18aada2478b24840a/Снимок экрана 2023-11-09 в 18.05.24.png;1770;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
